"KDSATKER","KDDEPT","KDAKUN","REALISASI"
"307818","005","425131",853344
"307822","005","425131",2514000
"307839","005","425131",2084544
"307892","005","425131",1980959
"307911","005","425131",6991952
"307928","005","425131",1217043
"307949","005","425131",397760
"307953","005","425131",754380
"307960","005","425131",175000
"307974","005","425131",1679920
"307981","005","425131",1663431
"308014","005","425131",1767060
"308021","005","425131",3897730
"308035","005","425131",2093260
"308152","005","425131",1348210
"308166","005","425131",126339000
"308170","005","425131",8412802
"309104","005","425131",0
"309117","005","425131",0
"400007","005","425131",8007340
"400013","005","425131",11267616
"400022","005","425131",19703600
"400038","005","425131",8571557
"400044","005","425131",4419320
"400050","005","425131",10064818
"400051","005","425131",0
"400069","005","425131",10907978
"400075","005","425131",10433984
"400081","005","425131",5651356
"400090","005","425131",2660856
"400101","005","425131",6670128
"400110","005","425131",18368777
"400126","005","425131",19551766
"400132","005","425131",27575732
"400141","005","425131",10141050
"400157","005","425131",8623270
"400163","005","425131",1420155
"400172","005","425131",3209906
"400188","005","425131",14061173
"400194","005","425131",2887500
"400208","005","425131",23358512
"400214","005","425131",0
"400220","005","425131",8230092
"400221","005","425131",0
"400239","005","425131",25965367
"400245","005","425131",20547335
"400251","005","425131",52542790
"400260","005","425131",11557294
"400276","005","425131",2477079
"400282","005","425131",19371283
"400291","005","425131",14400340
"400302","005","425131",10765983
"400311","005","425131",18700000
"400327","005","425131",8200962
"400333","005","425131",2274000
"400342","005","425131",11290475
"400358","005","425131",74148272
"400359","005","425131",0
"400364","005","425131",39839356
"400370","005","425131",11915896
"400389","005","425131",13369379
"400395","005","425131",14820000
"400409","005","425131",7518431
"400415","005","425131",10252638
"400421","005","425131",10179770
"400430","005","425131",13272000
"400446","005","425131",19313000
"400452","005","425131",19100555
"400461","005","425131",8580000
"400477","005","425131",1377180
"400483","005","425131",12580500
"400492","005","425131",25111793
"400503","005","425131",25814170
"400512","005","425131",21184267
"400528","005","425131",14812629
"400534","005","425131",36217690
"400540","005","425131",8430532
"400541","005","425131",0
"400559","005","425131",44535808
"400565","005","425131",13466340
"400571","005","425131",2750176
"400580","005","425131",10501718
"400596","005","425131",1829677
"400600","005","425131",16037400
"400616","005","425131",0
"400631","005","425131",1059624
"400647","005","425131",1824665
"400653","005","425131",0
"400678","005","425131",6466500
"400704","005","425131",234895
"400710","005","425131",5376041
"400729","005","425131",2488860
"400735","005","425131",39719
"400750","005","425131",0
"400766","005","425131",2325000
"400772","005","425131",2616000
"400781","005","425131",3450000
"400797","005","425131",2590250
"400832","005","425131",2020000
"400833","005","425131",0
"400854","005","425131",995540
"400879","005","425131",0
"400885","005","425131",1062000
"400891","005","425131",2948000
"400905","005","425131",254264
"400911","005","425131",1861028
"400936","005","425131",5665750
"400942","005","425131",1200000
"400951","005","425131",1365672
"400967","005","425131",90399
"400973","005","425131",1734405
"400982","005","425131",1574100
"400998","005","425131",274840
"401002","005","425131",0
"401018","005","425131",0
"401024","005","425131",0
"401030","005","425131",0
"401049","005","425131",0
"401055","005","425131",3000000
"401061","005","425131",210000
"401086","005","425131",1773700
"401092","005","425131",939000
"401106","005","425131",0
"401112","005","425131",12487828
"401121","005","425131",1082130
"401143","005","425131",1900980
"401152","005","425131",0
"401174","005","425131",0
"401180","005","425131",350000
"401199","005","425131",2474840
"401200","005","425131",1921920
"401219","005","425131",1138005
"401231","005","425131",353889
"401240","005","425131",729120
"401256","005","425131",1820000
"401262","005","425131",158812
"401271","005","425131",2028485
"401287","005","425131",703300
"401293","005","425131",5143000
"401307","005","425131",371250
"401322","005","425131",6448670
"401338","005","425131",363300
"401350","005","425131",1796250
"401369","005","425131",1799440
"401375","005","425131",700000
"401381","005","425131",15905750
"401390","005","425131",397030
"401401","005","425131",431080
"401410","005","425131",1039150
"401426","005","425131",855360
"401441","005","425131",855393
"401457","005","425131",1087200
"401472","005","425131",2515000
"401488","005","425131",7859000
"401494","005","425131",0
"401514","005","425131",0
"401539","005","425131",909076
"401551","005","425131",1368433
"401560","005","425131",1200000
"401576","005","425131",585000
"401582","005","425131",14334460
"401591","005","425131",2475000
"401602","005","425131",3498000
"401611","005","425131",2474940
"401627","005","425131",1089000
"401633","005","425131",0
"401642","005","425131",2392500
"401658","005","425131",3342300
"401664","005","425131",60000
"401670","005","425131",2769300
"401689","005","425131",3397680
"401695","005","425131",2826992
"401709","005","425131",1633750
"401715","005","425131",0
"401721","005","425131",104643
"401730","005","425131",699858
"401746","005","425131",2500000
"401752","005","425131",1297500
"401777","005","425131",12728727
"401792","005","425131",864864
"401803","005","425131",7406000
"401812","005","425131",616960
"401840","005","425131",2416960
"401859","005","425131",2717000
"401865","005","425131",2105107
"401871","005","425131",1151851
"401875","005","425131",0
"401879","005","425131",207900
"401883","005","425131",0
"401890","005","425131",119679
"401892","005","425131",119679
"401893","005","425131",0
"401896","005","425131",5071500
"401900","005","425131",4695000
"401902","005","425131",273736
"401903","005","425131",0
"401904","005","425131",478200
"401905","005","425131",3375000
"401906","005","425131",0
"401907","005","425131",0
"401908","005","425131",1796400
"401909","005","425131",1302444
"401910","005","425131",2353126
"401911","005","425131",1197800
"401913","005","425131",416800
"401914","005","425131",0
"401915","005","425131",4481875
"401916","005","425131",405891
"401918","005","425131",0
"401919","005","425131",0
"401922","005","425131",1050000
"401924","005","425131",1200000
"401925","005","425131",0
"401929","005","425131",34881
"401933","005","425131",1069200
"401943","005","425131",277893
"401946","005","425131",0
"401949","005","425131",0
"401950","005","425131",109992
"401953","005","425131",0
"401955","005","425131",0
"401956","005","425131",237160
"401957","005","425131",0
"401959","005","425131",142296
"401960","005","425131",1147000
"401962","005","425131",1326140
"401972","005","425131",0
"401978","005","425131",1686680
"401990","005","425131",1846000
"402004","005","425131",2340000
"402010","005","425131",663070
"402029","005","425131",462000
"402035","005","425131",249150
"402072","005","425131",0
"402081","005","425131",1756200
"402097","005","425131",2069600
"402101","005","425131",3148200
"402117","005","425131",950000
"402123","005","425131",2180640
"402148","005","425131",2144022
"402154","005","425131",115000
"402160","005","425131",616790
"402205","005","425131",1009000
"402211","005","425131",359891
"402220","005","425131",50450
"402236","005","425131",3153285
"402242","005","425131",1348210
"402251","005","425131",0
"402267","005","425131",792990
"402273","005","425131",445500
"402282","005","425131",494343
"402298","005","425131",58150444
"402302","005","425131",3038104
"402318","005","425131",514140
"402324","005","425131",2350596
"402330","005","425131",1212912
"402349","005","425131",0
"402361","005","425131",5628740
"402370","005","425131",4538000
"402386","005","425131",85160
"402392","005","425131",4509174
"402406","005","425131",2309590
"402412","005","425131",4051000
"402421","005","425131",545120
"402437","005","425131",438900
"402443","005","425131",1945410
"402449","005","425131",12083085
"402452","005","425131",1713230
"402468","005","425131",1514500
"402480","005","425131",3204936
"402500","005","425131",3665970
"402525","005","425131",3262830
"402531","005","425131",4323900
"402540","005","425131",0
"402556","005","425131",3693119
"402562","005","425131",7465920
"402571","005","425131",0
"402587","005","425131",0
"402593","005","425131",1443630
"402607","005","425131",0
"402613","005","425131",1406630
"402622","005","425131",923870
"402638","005","425131",792000
"402650","005","425131",18836136
"402669","005","425131",4466865
"402675","005","425131",4699312
"402681","005","425131",6280000
"402690","005","425131",1544240
"402701","005","425131",2113750
"402710","005","425131",10901748
"402732","005","425131",1348760
"402757","005","425131",5420800
"402763","005","425131",2500000
"402772","005","425131",5000000
"402788","005","425131",5020246
"402794","005","425131",1790010
"402808","005","425131",0
"402820","005","425131",1950000
"402845","005","425131",407740
"402851","005","425131",1421530
"402860","005","425131",12209903
"402882","005","425131",1033677
"402891","005","425131",6050666
"402902","005","425131",2314840
"402911","005","425131",1847258
"402927","005","425131",2302500
"402933","005","425131",1908522
"402942","005","425131",1785770
"402958","005","425131",348810
"402964","005","425131",9607865
"402970","005","425131",7202037
"402989","005","425131",3611520
"402995","005","425131",0
"403009","005","425131",224004
"403021","005","425131",0
"403030","005","425131",519575
"403046","005","425131",0
"403052","005","425131",0
"403061","005","425131",517860
"403077","005","425131",1425000
"403092","005","425131",2454427
"417657","005","425131",3141568
"417704","005","425131",4008616
"417722","005","425131",2452758
"417844","005","425131",2160000
"440712","005","425131",2042320
"440728","005","425131",24834813
"440734","005","425131",11441919
"440740","005","425131",9563473
"450737","005","425131",332340
"477202","005","425131",16623980
"477218","005","425131",12500678
"477224","005","425131",5850350
"477230","005","425131",9731000
"477249","005","425131",12936000
"477255","005","425131",20372620
"477261","005","425131",29629050
"477292","005","425131",130057600
"477306","005","425131",3671539
"477343","005","425131",11996202
"477352","005","425131",8316350
"477368","005","425131",4946720
"477374","005","425131",16700000
"477380","005","425131",1366000
"477399","005","425131",4576800
"477400","005","425131",314400
"526704","005","425131",1050000
"526706","005","425131",346500
"526708","005","425131",91000
"526711","005","425131",13514788
"526714","005","425131",1208874
"526718","005","425131",290974
"526722","005","425131",739200
"526724","005","425131",1140574
"526725","005","425131",22294280
"526728","005","425131",168630
"526730","005","425131",168630
"526732","005","425131",0
"526734","005","425131",479184
"526736","005","425131",0
"526746","005","425131",56432208
"526750","005","425131",23182312
"526767","005","425131",1852500
"526771","005","425131",8036490
"531823","005","425131",11224400
"531824","005","425131",0
"531830","005","425131",6893726
"531844","005","425131",10902000
"531851","005","425131",10423080
"531865","005","425131",4454868
"531872","005","425131",6739620
"539117","005","425131",3556000
"539121","005","425131",6795000
"539138","005","425131",21529790
"547657","005","425131",11860641
"547661","005","425131",1850880
"547678","005","425131",13596602
"547699","005","425131",4914000
"548940","005","425131",4523437
"559840","005","425131",7648412
"559857","005","425131",9293000
"559861","005","425131",11800000
"568725","005","425131",25567910
"576249","005","425131",14862605
"576253","005","425131",11142500
"576260","005","425131",2966826
"576274","005","425131",14081051
"578801","005","425131",8030000
"578818","005","425131",7503804
"578822","005","425131",26478050
"578839","005","425131",8166450
"578843","005","425131",7275338
"578850","005","425131",8928000
"578864","005","425131",12935749
"578871","005","425131",8047800
