"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099159","005","425239",324,29,6344
"099160","005","425232",38,1,198
"099160","005","425233",60,8,225
"099160","005","425239",378,56,6972
"099161","005","425233",26,3,85
"099161","005","425239",128,20,2124
"099163","005","425232",12,1,15
"099163","005","425233",67,5,109
"099163","005","425239",266,31,4217
"099164","005","425232",51,1,105
"099164","005","425233",68,5,139
"099164","005","425239",370,26,7113
"099165","005","425233",59,6,195
"099165","005","425239",251,34,2553
"099166","005","425233",74,4,124
"099166","005","425239",320,26,3902
"099167","005","425232",24,1,226
"099167","005","425233",29,4,277
"099167","005","425239",133,20,7496
"099168","005","425232",17,1,75
"099168","005","425233",23,4,133
"099168","005","425239",118,28,2099
"099168","005","425764",1,1,1
"099169","005","425232",5,1,21
"099169","005","425239",92,2,239
"099170","005","425231",1,1,2
"099170","005","425232",106,1,471
"099170","005","425233",208,10,412
"099170","005","425239",885,56,13232
"099171","005","425232",29,1,42
"099171","005","425233",24,2,26
"099171","005","425239",122,11,1292
"099172","005","425232",13,1,18
"099172","005","425233",101,6,303
"099172","005","425239",448,32,6878
"099173","005","425233",123,6,280
"099173","005","425239",529,28,7109
"099174","005","425232",140,1,693
"099174","005","425233",132,5,387
"099174","005","425239",695,31,9514
"099175","005","425232",96,1,143
"099175","005","425233",119,5,214
"099175","005","425239",562,32,4075
"099177","005","425232",26,1,33
"099177","005","425233",84,5,104
"099177","005","425239",368,27,2059
"099178","005","425232",58,1,208
"099178","005","425233",72,5,221
"099178","005","425239",283,33,6281
"099179","005","425232",61,1,86
"099179","005","425233",81,4,106
"099179","005","425239",252,15,2746
"099181","005","425231",2,1,2
"099181","005","425232",51,1,95
"099181","005","425233",80,5,116
"099181","005","425239",353,29,3064
"099181","005","425912",1,1,1
"099182","005","425232",22,1,35
"099182","005","425233",17,2,26
"099182","005","425239",77,14,721
"099183","005","425232",53,1,112
"099183","005","425233",61,4,104
"099183","005","425239",137,6,1142
"099184","005","425232",70,1,96
"099184","005","425233",58,3,102
"099184","005","425239",256,12,1959
"099185","005","425232",49,1,72
"099185","005","425233",24,6,24
"099185","005","425239",178,17,1321
"099186","005","425232",37,1,37
"099186","005","425233",29,2,29
"099186","005","425239",754,15,1755
"099187","005","425232",40,1,56
"099187","005","425233",20,4,20
"099187","005","425239",276,28,2327
"099188","005","425233",16,2,53
"099188","005","425239",114,16,3924
"099189","005","425239",204,2,1326
"099190","005","425231",248,1,1687
"099190","005","425233",766,18,3456
"099190","005","425239",3692,91,65341
"099191","005","425232",37,1,189
"099191","005","425233",50,3,194
"099191","005","425239",159,10,5208
"099192","005","425232",11,1,45
"099192","005","425233",44,6,191
"099192","005","425239",250,28,5738
"099193","005","425232",12,1,117
"099193","005","425233",20,4,127
"099193","005","425239",60,6,4684
"099194","005","425231",4,1,8
"099194","005","425232",11,1,301
"099194","005","425233",38,5,250
"099194","005","425239",60,9,4279
"099195","005","425232",32,1,422
"099195","005","425233",53,7,389
"099195","005","425239",187,20,16521
"099196","005","425232",15,1,523
"099196","005","425233",49,7,152
"099196","005","425239",247,37,5605
"099198","005","425233",56,8,244
"099198","005","425239",310,37,17333
"099199","005","425231",6,1,6
"099199","005","425232",24,1,254
"099199","005","425233",81,7,442
"099199","005","425239",498,40,15193
"099200","005","425233",46,6,256
"099200","005","425239",197,31,14746
"099201","005","425131",2,1,2
"099201","005","425231",5,1,525
"099201","005","425232",13,1,163
"099201","005","425233",28,4,189
"099201","005","425239",109,24,6302
"099202","005","425122",1,1,0
"099203","005","425231",4,1,5
"099203","005","425232",32,1,182
"099203","005","425233",95,6,473
"099203","005","425239",395,36,19772
"099204","005","425239",114,2,501
"099205","005","425232",156,1,2197
"099205","005","425233",335,9,1010
"099205","005","425239",1470,71,23868
"099206","005","425232",9,1,9
"099206","005","425233",19,3,19
"099206","005","425239",319,16,1716
"099207","005","425232",14,1,94
"099207","005","425233",49,5,91
"099207","005","425239",267,34,6052
"099208","005","425232",29,1,93
"099208","005","425233",45,5,128
"099208","005","425239",262,29,3938
"099209","005","425232",49,1,207
"099209","005","425233",92,6,283
"099209","005","425239",719,41,17313
"099210","005","425231",1,1,29
"099210","005","425233",57,6,124
"099210","005","425239",163,15,8315
"099211","005","425232",106,1,647
"099211","005","425233",143,7,252
"099211","005","425239",789,43,12276
"099212","005","425231",1,1,5
"099212","005","425232",43,1,105
"099212","005","425233",36,3,62
"099212","005","425239",251,26,3538
"099213","005","425232",9,1,78
"099213","005","425233",68,7,185
"099213","005","425239",372,40,7226
"099214","005","425232",14,1,133
"099214","005","425233",126,10,507
"099214","005","425239",2493,65,18831
"099215","005","425232",16,1,72
"099215","005","425233",78,6,333
"099215","005","425239",350,36,10141
"099216","005","425232",62,1,98
"099216","005","425233",70,6,93
"099216","005","425239",474,41,3665
