"KDSATKER","MAX(REVISION_NUMBER)"
"099120",5
"099121",2
"099122",3
"099123",3
"099124",3
"099125",2
"099126",3
"099127",3
"099128",4
"099129",2
"099130",3
"099131",2
"099132",3
"099133",1
"099134",4
"099135",4
"099136",3
"099137",3
"099138",2
"099139",3
"099140",3
"099141",4
"099142",3
"099143",2
"099144",5
"099145",3
"099146",3
"099147",3
"099148",3
"099149",4
"099150",2
"099151",3
"099152",3
"099153",3
"099154",1
"099155",2
"099156",3
"099157",5
"099158",3
"099160",2
"099161",2
"099162",5
"099164",3
"099165",3
"099166",1
"099167",3
"099168",3
"099169",4
"099170",2
"099171",3
"099172",1
"099173",4
"099174",4
"099175",4
"099176",3
"099177",2
"099178",3
"099179",3
"099180",8
"099181",3
"099182",4
"099184",4
"099185",3
"099186",4
"099187",3
"099188",3
"099189",2
"099190",3
"099191",2
"099192",2
"099193",3
"099194",3
"099195",3
"099196",2
"099197",5
"099198",3
"099199",3
"099200",2
"099201",3
"099202",4
"099203",3
"099204",4
"099205",3
"099206",5
"099207",3
"099208",3
"099209",3
"099210",3
"099211",3
"099212",3
"099213",4
"099214",4
"099215",4
"099216",3
"099217",3
"099219",4
"099220",4
"099221",3
"099222",4
"099223",3
"099224",3
"099225",3
"099226",2
"099227",4
"099228",4
"099229",1
"099230",2
"099231",3
"099232",3
"099233",6
"099234",4
"099235",3
"099236",4
"099237",4
"099238",3
"099239",4
"099240",3
"099241",4
"099242",3
"099243",3
"099244",5
"099245",3
"099246",4
"099247",4
"099248",2
"099249",1
"099250",2
"099251",4
"099252",3
"099253",4
"099254",3
"099255",3
"099256",3
"099257",4
"099258",2
"099259",3
"099260",3
"099261",2
"099265",3
"099266",1
"099267",5
"099270",6
"099271",7
"099272",3
"099273",3
"099286",3
"099287",2
"099290",3
"099291",4
"099297",4
"099298",4
"099299",3
"099300",8
"099308",2
"099309",2
"099312",4
"099313",1
"099314",7
"099315",7
"099316",4
"099317",10
"099322",5
"099329",3
"099330",4
"099333",7
"099334",6
"099340",4
"099341",3
"099354",5
"099355",5
"099361",5
"099362",3
"099375",3
"099376",3
"099382",5
"099383",3
"099396",5
"099397",4
"099401",5
"099402",3
"099418",4
"099419",1
"099422",2
"099423",2
"099436",6
"099438",5
"099439",2
"099440",1
"099441",2
"099443",2
"099444",2
"099450",3
"099451",3
"099464",3
"099465",2
"099485",3
"099486",2
"099492",3
"099493",4
"099507",1
"099511",5
"099512",3
"099528",3
"099529",2
"099532",3
"099533",3
"099549",4
"099550",3
"099553",2
"099554",2
"099560",3
"099561",1
"099574",3
"099575",3
"099581",4
"099582",3
"099595",4
"099596",3
"099600",4
"099601",3
"099617",4
"099618",3
"099621",2
"099622",2
"099638",3
"099639",2
"099642",3
"099643",4
"099659",4
"099660",2
"099663",4
"099664",6
"099670",4
"099671",3
"099684",5
"099685",3
"099691",5
"099692",2
"099706",3
"099707",3
"099710",4
"099711",3
"099727",4
"099728",1
"099731",5
"099732",5
"099748",7
"099749",6
"099752",4
"099753",4
"099769",5
"099770",3
"099773",5
"099774",3
"099780",4
"099781",3
"099794",6
"099795",3
"099802",3
"099803",3
"099816",3
"099817",3
"099820",3
"099821",3
"099837",4
"099838",3
"099841",4
"099842",4
"099858",3
"099859",3
"099862",2
"099863",2
"099879",4
"099880",3
"099883",3
"099884",3
"099890",4
"099891",4
"099905",4
"099906",4
"099912",2
"099913",2
"099926",3
"099927",5
"099930",4
"099931",3
"099947",5
"099948",3
"099951",4
"099952",3
"099968",4
"099969",3
"099972",3
"099973",4
"099989",3
"099990",3
"099993",4
"099994",5
"100003",6
"100036",1
"100041",5
"100043",7
"100066",4
"100086",2
"100094",5
"100098",1
"100100",7
"100705",1
"105131",6
"105163",4
"105207",3
"105208",11
"105209",6
"105210",4
"105211",2
"107150",3
"107170",5
"108025",4
"108266",11
"108287",7
"108309",8
"109005",5
"109007",5
"109012",3
"109015",6
"109016",1
"109020",4
"109032",4
"109033",3
"109034",4
"109035",4
"109036",5
"109037",2
"109063",4
"109064",5
"109065",4
"109067",4
"109070",5
"109071",5
"109104",9
"109105",6
"109106",3
"109107",6
"109108",3
"109109",5
"109110",3
"109111",3
"109112",7
"109113",4
"109114",6
"109115",4
"109116",4
"109117",3
"109118",9
"109119",6
"109120",7
"109121",6
"109125",6
"109137",5
"109138",11
"109139",5
"109140",2
"109141",1
"109142",5
"109143",5
"109144",9
"109145",4
"109146",5
"109147",4
"109148",10
"109149",7
"109150",2
"109151",5
"109152",4
"109153",4
"109154",4
"109155",6
"109156",3
"109157",6
"109158",4
"109159",5
"109160",8
"109161",5
"109207",14
"109214",2
"109636",5
"109905",4
"110009",5
"110031",3
"110042",3
"110060",1
"110068",4
"110098",3
"110100",7
"110808",4
"111071",3
"111079",4
"111714",3
"111805",2
"111806",5
"111904",8
"111905",1
"111910",7
"115134",4
"117109",6
"117134",4
"117141",5
"117155",7
"119000",4
"119002",2
"119004",5
"119006",5
"119008",3
"119022",3
"119025",3
"119028",3
"119036",3
"119037",9
"119038",1
"119039",5
"119040",1
"119072",4
"119073",3
"119078",3
"119081",3
"119082",1
