"kdsatker","kddept","kdmak","thang","volume"
"005215","006","425237","2023",1.000
"005215","006","425243","2023",1.000
"005222","006","425131","2023",1.000
"005222","006","425233","2023",1.000
"005222","006","425236","2023",1.000
"005222","006","425237","2023",1.000
"005222","006","425238","2023",1.000
"005222","006","425249","2023",1.000
"005236","006","425131","2023",1.000
"005236","006","425233","2023",1.000
"005236","006","425236","2023",1.000
"005236","006","425237","2023",1.000
"005236","006","425238","2023",1.000
"005236","006","425249","2023",1.000
"005240","006","425131","2023",1.000
"005240","006","425233","2023",1.000
"005240","006","425236","2023",1.000
"005240","006","425237","2023",1.000
"005240","006","425238","2023",1.000
"005240","006","425241","2023",1.000
"005240","006","425243","2023",1.000
"005240","006","425246","2023",1.000
"005257","006","425131","2023",1.000
"005257","006","425233","2023",1.000
"005257","006","425236","2023",1.000
"005257","006","425237","2023",1.000
"005257","006","425238","2023",1.000
"005257","006","425243","2023",1.000
"005257","006","425249","2023",1.000
"005261","006","425233","2023",1.000
"005261","006","425236","2023",1.000
"005261","006","425237","2023",1.000
"005261","006","425238","2023",1.000
