No;TAHUN;KDDEPT;NMDEPT;NMSATKER;KDSATKER;KATEGORI;TEMUAN;NILAI
99;2022;22;022  KEMENTERIAN PERHUBUNGAN;"UPBU Mozes Ditjen Perhubungan Udara - Kilangin Timika
";466272;TANPA DASAR HUKUM;terdapat penyewaan hanggar pesawat dan Flight Operation (FLOPS) Center and Maintenance yang disewakan kepada airlines oleh Pemkab Mimika, sementara atas tanah tersebut telah dihibahkan kepada UPBU Mozes sehingga UPBU Mozes Kilangin Timika tidak dapat memungut PNBP atas pemanfaatan lahan tersebut. Penelusuran lebih lanjut diketahui bahwa sewa tersebut tidak didukung dengan perjanjian sewa maupun perjanjian kerja sama konsesi dan tidak ada tarif PNBP-nya. ;0
100;2022;86;086  LEMBAGA ADMINISTRASI NEGARA;LAN Jakarta;450417;TANPA DASAR HUKUM;"
a. Perpanjangan Perjanjian Sewa antara LAN Jakarta dengan PT BRI
(Persero) Tbk Terlambat Dibuat
b. Dasar Perhitungan Tarif Sewa ATM BRI Tidak Tepat 
c. Tarif Sewa ATM BRI Tahun 2021 dan 2022 Tidak Melalui Penetapan
dari KPKNL Jakarta II DJKN Kementerian Keuangan
 ";0
101;2022;86;086  LEMBAGA ADMINISTRASI NEGARA; STIA LAN Jakarta;662621;TANPA DASAR HUKUM;"Belum Ada Penetapan Tarif Sewa dari KPKNL dan Pendapatan Sewa
Tahun 2020 s.d. 2022 Terlambat Diterima";0
102;2022;40;040  KEMENTERIAN PARIWISATA DAN EKONOMI KREATIF/BADAN PARIWISATA DAN EKONOMI KREATIF;Politeknik Pariwisata Medan;538872;TANPA DASAR HUKUM;Penerimaan Negara Bukan Pajak dari Penyelenggaraan Pendidikan Program Magister (S2) pada Politeknik Pariwisata Medan Sebesar Rp316.900.000 Belum Memiliki Dasar Hukum Memadai ;0
103;2022;6;006  KEJAKSAAN REPUBLIK INDONESIA;"Kejati Sulawesi
Tenggara";8416;TANPA DASAR HUKUM;Sewa Bangunan yang Belum Mendapatkan Persetujuan KPKNL;2100000
104;2022;6;006  KEJAKSAAN REPUBLIK INDONESIA;Kejari Kendari;8420;TANPA DASAR HUKUM;Sewa Bangunan yang Belum Mendapatkan Persetujuan KPKNL;0
105;2022;6;006  KEJAKSAAN REPUBLIK INDONESIA;"Kejati Sulawesi
Utara";7783;TANPA DASAR HUKUM;Sewa Bangunan yang Belum Mendapatkan Persetujuan KPKNL;0
106;2022;5;005  MAHKAMAH AGUNG;Mahkamah Syariah (MS) Aceh ;401582;TANPA DASAR HUKUM;"berupa sewa Anjungan Tunai Mandiri
(ATM) dengan PT Bank Aceh Syariah dan kantin Maqshaf Syar’I
Atas sewa ATM PT Bank Aceh telah dilakukan penyetoran PNBP sebesar
Rp45.000.000 tanggal 25 Juni 2021 untuk jangka waktu 1 Mei 2021 s.d.
30 April 2024. ";45.000.000
107;2022;5;005  MAHKAMAH AGUNG;PN Jakarta Pusat ;99063;TANPA DASAR HUKUM;"PN Jakarta Pusat berupa sewa Base Transceiver Station (BTS) Storvanet
Nilai sewa dalam perjanjian sewa dihitung sendiri oleh PN Jakarta Pusat
sebesar Rp18.900.000 per tahun dan telah disetorkan sebesar
Rp56.700.000 (untuk periode sewa 1 Oktober 2021 s.d. 30 September
2024) pada tanggal 19 Januari 2023.";56.700.000
108;2022;5;005  MAHKAMAH AGUNG;PN Jakarta Barat;99064;TANPA DASAR HUKUM;"berupa sewa Kantin FY, Warung AJ, Warung PCB, ATM
BRI dan 3G Fotokopi
Surat persetujuan KPKNL atas sewa-sewa tersebut berlaku untuk jangka
waktu sewa satu tahun dan telah berakhir, namun belum diajukan
permohonan persetujuan perpanjangan sewa ke KPKNL. Nilai sewa tahun
2022 telah disetorkan berdasarkan nilai sewa persetujuan KPKNL
sebelumnya.";0
109;2022;5;005  MAHKAMAH AGUNG;PA Jakarta Pusat;99063;TANPA DASAR HUKUM;"Terdapat layanan PT BSI dan PT Pos Indonesia pada Pelayanan Terpadu
Satu Pintu (PTSP) yang digunakan untuk keperluan pelayanan berperkara
di PA Jakarta Pusat dan belum diajukan persetujuan sewa ke KPKNL";0
110;2022;5;005  MAHKAMAH AGUNG;PN Malang;99152;TANPA DASAR HUKUM;"Terdapat penggunaan sebagian gedung dan bangunan oleh PT Pos
Indonesia untuk keperluan pelayanan berperkara di PN Malang dan belum
diajukan persetujuan sewa ke KPKNL";0
111;2022;5;005  MAHKAMAH AGUNG;PN Kasongan;679426;TANPA DASAR HUKUM;"Terdapat penggunaan lahan untuk kantin dari bulan Januari s.d. September
2022 dengan total nilai sewa sebesar Rp400.000. Surat persetujuan sewa
dari KPKNL terbit tanggal 11 Juli 2022, namun Penyewa tidak
melanjutkan sewa karena keberatan dengan nilai sewa sebesar
Rp1.610.000/tahun";0
112;2022;5;005  MAHKAMAH AGUNG;Sekretaris MA;4011;TANPA DASAR HUKUM;"Terdapat Kegiatan Sewa Tanah, Gedung, dan Bangunan yang Belum
Mempunyai Dasar Surat Keputusan (SK) Penetapan Pelaksanaan Sewa
dari Sekretaris MA";0
113;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Biro PBMN dan Biro Umum Sekretariat Jenderal;498488;TANPA DASAR HUKUM;"Tarif Pemanfaatan BMN pada Wisma Bima I dan II Belum Memiliki Dasar Penetapan
";0
114;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Politeknik PUPR di Tembalang;631187;TANPA DASAR HUKUM;"Belum Terdapat Penetapan Tarif PNBP atas Pemanfaatan Bangunan Asrama
Dosen";0
115;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Politeknik PUPR di Tembalang;631187;TANPA DASAR HUKUM;Belum Terdapat Penetapan Tarif PNBP atas Pemanfaatan Bangunan Asrama oleh mahasiswa;0
116;2022;33;033  KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT;Politeknik PUPR di Soekarno - Hatta;631187;TANPA DASAR HUKUM;Belum ada sewa PNBP yang dikenakan atas pemanfaatan asrama mahasiswa di Soekarno - Hatta;0
117;2022;18;018  KEMENTERIAN PERTANIAN;Balai Besar Pengujian Mutu dan Sertifikasi Obat Hewan (BBPMSOH);411962;TANPA DASAR HUKUM;Belum Ada Penetapan Tarif PNBP Penjualan Mencit pada BBPMSOH;300.000.000,00
