"KDSATKER","KDDEPT","KDMAK","JML_BILLING","JML_LAYANAN","REAL_VOLUME"
"099103","005","425231",6,1,10
"099103","005","425232",43,1,235
"099103","005","425233",126,6,292
"099103","005","425239",580,36,7796
"099104","005","425231",1,1,1
"099104","005","425233",129,8,254
"099104","005","425239",734,48,10067
"099105","005","425231",5,1,5
"099105","005","425232",21,1,25
"099105","005","425233",95,7,267
"099105","005","425239",502,33,7919
"099106","005","425232",16,1,25
"099106","005","425233",106,6,189
"099106","005","425239",436,31,3738
"099106","005","425764",1,1,1
"099107","005","425231",4,1,4
"099107","005","425232",9,1,40
"099107","005","425233",49,3,264
"099107","005","425239",276,22,5001
"099108","005","425232",78,1,138
"099108","005","425233",103,9,165
"099108","005","425239",612,41,5668
"099110","005","425232",18,1,82
"099110","005","425233",50,6,93
"099110","005","425239",218,47,2920
"099111","005","425232",38,1,62
"099111","005","425233",74,7,98
"099111","005","425239",395,35,4324
"099112","005","425232",1,1,6
"099112","005","425233",42,6,170
"099112","005","425239",198,31,5129
"099114","005","425231",70,1,1199
"099114","005","425232",120,1,352
"099114","005","425233",144,7,358
"099114","005","425239",502,35,5531
"099115","005","425231",15,1,21
"099115","005","425232",191,1,629
"099115","005","425233",265,8,537
"099115","005","425239",1521,53,23755
"099116","005","425231",6,1,6
"099116","005","425232",95,1,241
"099116","005","425233",131,8,288
"099116","005","425239",809,59,7948
"099117","005","425232",42,1,123
"099117","005","425233",77,8,202
"099117","005","425239",424,48,5686
"099118","005","425232",1,1,3
"099118","005","425233",78,11,382
"099118","005","425239",217,34,11454
"099119","005","425231",6,1,7
"099119","005","425232",47,1,300
"099119","005","425233",108,8,342
"099119","005","425239",476,34,6231
"099121","005","425231",1,1,2
"099121","005","425232",9,1,152
"099121","005","425233",41,4,290
"099121","005","425239",141,6,5536
"099122","005","425231",20,1,20
"099122","005","425232",97,1,191
"099122","005","425233",177,11,430
"099122","005","425239",1109,72,10411
"099123","005","425231",1,1,3
"099123","005","425233",80,6,200
"099123","005","425239",501,36,9268
"099124","005","425231",2,1,2
"099124","005","425232",105,1,289
"099124","005","425233",130,6,333
"099124","005","425239",602,30,6192
"099125","005","425231",1,1,1
"099125","005","425232",31,1,53
"099125","005","425233",85,6,128
"099125","005","425239",508,31,4060
"099126","005","425232",1,1,1
"099126","005","425233",51,7,147
"099126","005","425239",262,40,2650
"099127","005","425231",2,1,2
"099127","005","425233",42,4,131
"099127","005","425239",184,20,2729
"099128","005","425231",8,1,104
"099128","005","425232",199,1,257
"099128","005","425233",46,8,569
"099128","005","425239",1147,48,13703
"099129","005","425231",1,1,1
"099129","005","425232",82,1,285
"099129","005","425233",129,7,408
"099129","005","425239",506,38,5705
"099130","005","425232",25,1,163
"099130","005","425233",74,9,285
"099130","005","425239",262,37,4974
"099131","005","425231",18,1,23
"099131","005","425232",178,1,1165
"099131","005","425233",262,10,1260
"099131","005","425239",1607,65,25745
"099132","005","425239",66,2,1622
"099133","005","425231",37,1,69
"099133","005","425232",79,1,2528
"099133","005","425233",329,19,3588
"099133","005","425239",864,53,76125
"099135","005","425232",27,1,113
"099135","005","425233",42,6,189
"099135","005","425239",150,7,3963
"099136","005","425232",38,1,464
"099136","005","425233",48,6,333
"099136","005","425239",271,36,9528
"099137","005","425131",1,1,1
"099137","005","425232",3,1,40
"099137","005","425233",57,6,301
"099137","005","425239",158,16,4933
"099138","005","425231",17,1,816
"099138","005","425232",27,1,463
"099138","005","425233",43,4,321
"099138","005","425239",116,8,14673
"099139","005","425231",25,1,48
"099139","005","425232",168,1,926
"099139","005","425233",277,9,858
"099139","005","425239",1770,46,33685
"099140","005","425232",3,1,61
"099140","005","425233",40,6,323
"099140","005","425239",132,32,7806
"099142","005","425232",29,1,109
"099142","005","425233",41,4,242
"099142","005","425239",306,33,4165
"099143","005","425231",1,1,1
"099143","005","425232",27,1,69
"099143","005","425233",49,4,118
"099143","005","425239",281,30,3345
"099144","005","425231",17,1,21
"099144","005","425233",122,5,578
"099144","005","425239",931,50,22529
"099145","005","425231",7,1,7
"099145","005","425232",45,1,89
"099145","005","425233",181,7,526
"099145","005","425239",1066,42,21418
"099146","005","425231",2,1,2
"099146","005","425232",64,1,101
"099146","005","425233",108,5,180
"099146","005","425239",1168,38,5166
"099147","005","425231",5,1,5
